Parasite.species,parasite_genus,parasite_family,parasite_order,parasite_class,parasite_phylum,Host.no,Host_no_fac,Stage,assumed_stage,Def.int,Facultative,num_hosts,host_phylum,host_class,host_bm,host_tl,endo_ecto,prop_endo,vert_invert,habitat,prop_terr,Site,body_cavity,gi_tract,gi_wall,pulmonary,biliary,urinary,enclosed,lcl_max,lcl_max_fac,initial_biov,initial_length,initial_width,biovolume,avg_length,avg_width,avg_dt,avg_dd,rel_growth,biov_paratenic,avg_dt_paratenic,avg_dd_paratenic,rel_growth_paratenic,tree_tips
Acanthogyrus (Acanthosentis) lizae,Acanthogyrus,Quadrigyridae,Gyracanthocephala,Eoacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Hexanauplia,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,2.58E-05,0.073,0.026,0.00383729,0.59,0.091,NA,NA,2.171756499,0.00383729,NA,NA,2.171756499,Acanthogyrus_adriaticus
Acanthogyrus (Acanthosentis) lizae,Acanthogyrus,Quadrigyridae,Gyracanthocephala,Eoacanthocephala,Acanthocephala,2,2,adult,no,def,no,1,Chordata,Actinopterygii,2.424849907,2.84,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,0.00383729,0.59,0.091,42.01892741,42.65,1.12,NA,NA,4.039420285,42.01892741,NA,NA,4.039420285,Acanthogyrus_adriaticus
Acanthosentis dattai,Acanthosentis,Quadrigyridae,Gyracanthocephala,Eoacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Hexanauplia,-5.160059174,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,NA,NA,NA,0.002078715,0.53,0.070666667,NA,NA,NA,0.002078715,NA,NA,NA,Acanthosentis_dattai
Acanthosentis dattai,Acanthosentis,Quadrigyridae,Gyracanthocephala,Eoacanthocephala,Acanthocephala,2,2,adult,no,def,no,2,Chordata,Actinopterygii,0.863959556,2.415,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,0.002078715,0.53,0.070666667,1.962025536,5.565,0.67,NA,NA,2.974909688,1.962025536,NA,NA,2.974909688,Acanthosentis_dattai
Acuaria anthuris,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,1,Arthropoda,Insecta,0.176091259,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,2,2,1.81E-05,0.0425,0.0285,0.000987497,0.68,0.043,11,213.75,1.737458433,0.000987497,11,213.75,1.737458433,Acuaria_anthuris
Acuaria anthuris,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,5,Chordata,Aves,2.515484644,2.860858586,endo,1,vert,terrestrial,1,gizzard,no,yes,no,no,no,no,no,2,2,0.000987497,0.68,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acuaria_anthuris
Acuaria depressa,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,3,Arthropoda,Insecta,0.176091259,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,2,2,1.64E-05,0.043,0.027,NA,1.15,NA,19.5,285,NA,NA,19.5,285,NA,Acuaria_depressa
Acuaria depressa,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,4,Chordata,Aves,2.635176207,2.758143939,endo,1,vert,terrestrial,1,gizzard,no,yes,no,no,no,no,no,2,2,NA,1.15,NA,3.201895839,19.1,0.462,55,1952.5,NA,3.201895839,55,1952.5,NA,Acuaria_depressa
Acuaria gruveli,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,1,Arthropoda,Insecta,NA,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,2,2,1.21E-05,0.037,0.025,0.000618246,0.575,0.037,9.5,237.5,1.70808081,0.000618246,9.5,237.5,1.70808081,Acuaria_gruveli
Acuaria gruveli,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,2,Chordata,Aves,2.7930916,NA,endo,1,vert,terrestrial,1,gizzard,no,yes,no,no,no,no,no,2,2,0.000618246,0.575,0.037,1.102384862,29,0.22,NA,NA,3.251172067,1.102384862,NA,NA,3.251172067,Acuaria_gruveli
Acuaria hamulosa,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,21,Arthropoda,Insecta,-2.619788758,2.025,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,2,2,1.17E-05,0.0386,0.0236,0.001253726,0.6985,0.0478,20.33333333,NA,2.031438817,0.001253726,20.33333333,NA,2.031438817,Acuaria_hamulosa
Acuaria hamulosa,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,3,Chordata,Aves,3.349839879,NA,endo,1,vert,terrestrial,1,gizzard,no,yes,no,no,no,no,no,2,2,0.001253726,0.6985,0.0478,3.587968914,16.48916667,0.480625,94.125,3341.4375,3.456646165,3.587968914,94.125,3341.4375,3.456646165,Acuaria_hamulosa
Acuaria subula,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,1,Arthropoda,Insecta,NA,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,2,2,1.00E-05,0.036214286,0.022916667,0.000132084,0.7,0.0155,11,275,1.119324988,0.000132084,11,275,1.119324988,Acuaria_subula
Acuaria subula,Acuaria,Acuariidae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,15,Chordata,Aves,1.468700932,2.86875,endo,1,vert,terrestrial,1,gizzard,no,yes,no,no,no,no,no,2,2,0.000132084,0.7,0.0155,0.713256752,15.19285714,0.2465,NA,NA,3.732394574,0.713256752,NA,NA,3.732394574,Acuaria_subula
Aelurostrongylus abstrusus,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,1,1,1larv,no,int,no,22,Mollusca,Gastropoda,-1.344738664,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,3,3,0.000105274,0.3847,0.018666667,0.000306179,0.547575,0.027095556,20.78571429,286.8666667,0.463655852,0.000306179,20.78571429,286.8666667,0.463655852,Aelurostrongylus_abstrusus
Aelurostrongylus abstrusus,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,2,2,2larv,no,int,paratenic,6,Chordata,Aves,1.801278884,2.6025,endo,0.666666667,vert,terrestrial,1,tissues,no,no,no,no,no,no,yes,3,3,0.000306179,0.547575,0.027095556,NA,NA,NA,NA,NA,NA,0.000306179,1,20,0,Aelurostrongylus_abstrusus
Aelurostrongylus abstrusus,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,3,3,adult,no,def,no,1,Chordata,Mammalia,3.03475292,3.5,endo,1,vert,terrestrial,1,lungs,no,no,no,yes,no,no,no,3,3,NA,NA,NA,0.062156411,9.75,0.09,36,1206,NA,0.062156411,36,1206,NA,Aelurostrongylus_abstrusus
Aelurostrongylus falciformis,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,1,1,1larv,no,int,no,7,Mollusca,Gastropoda,-0.757947457,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,2,2,5.33E-05,0.284,0.01525,0.000287489,0.3987,0.0303,11,NA,0.731892039,0.000287489,11,NA,0.731892039,Aelurostrongylus_falciformis
Aelurostrongylus falciformis,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,2,2,adult,no,def,no,1,Chordata,Mammalia,3.653550708,2.8,endo,1,vert,terrestrial,1,lungs,no,no,no,yes,no,no,no,2,2,0.000287489,0.3987,0.0303,NA,NA,0.105,18.5,619.75,NA,NA,18.5,619.75,NA,Aelurostrongylus_falciformis
Aelurostrongylus pridhami,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,1,1,1larv,no,int,no,9,Mollusca,Gastropoda,-1.734758417,2,ecto,0,invert,terrestrial,1,muscles,no,no,no,no,no,no,yes,3,3,2.95E-05,0.261,0.012,0.000117181,0.373,0.02,13,227.5,0.598765824,0.000117181,13,227.5,0.598765824,Aelurostrongylus_pridhami
Aelurostrongylus pridhami,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,2,2,2larv,no,int,paratenic,8,Chordata,Mammalia,1.335568639,2.408333333,endo,0.75,vert,terrestrial,1,gut wall,no,no,yes,no,no,no,no,3,3,0.000117181,0.373,0.02,NA,NA,NA,NA,NA,NA,0.000117181,1,20,0,Aelurostrongylus_pridhami
Aelurostrongylus pridhami,Aelurostrongylus,Angiostrongylidae,Rhabditida,Chromadorea,Nematoda,3,3,adult,no,def,no,4,Chordata,Mammalia,2.80427162,3.19375,endo,1,vert,terrestrial,1,lungs,no,no,no,yes,no,no,no,3,3,NA,NA,NA,NA,NA,0.16325,25.5,854.25,NA,NA,25.5,854.25,NA,Aelurostrongylus_pridhami
Allodapa suctoria,Allodapa,Subuluridae,Ascaridida,Chromadorea,Nematoda,1,1,1larv,no,int,no,16,Arthropoda,Insecta,-1.950245512,2,ecto,0,invert,terrestrial,1,body cavity,yes,no,no,no,no,no,no,2,2,0.000126745,0.069211111,0.058155556,0.005060465,0.631277778,0.102944444,13.41666667,254.25,1.601258144,0.005060465,13.41666667,254.25,1.601258144,Allodapa_suctoria
Allodapa suctoria,Allodapa,Subuluridae,Ascaridida,Chromadorea,Nematoda,2,2,adult,no,def,no,5,Chordata,Aves,2.885752341,2.5525,endo,1,vert,terrestrial,1,ceca,no,yes,no,no,no,no,no,2,2,0.005060465,0.631277778,0.102944444,1.526205808,11.8218,0.39375,40.625,1442.1875,2.479422684,1.526205808,40.625,1442.1875,2.479422684,Allodapa_suctoria
Amidostomum acutum,Amidostomum,Amidostomatidae,Rhabditida,Chromadorea,Nematoda,1,1,adult,no,def,no,6,Chordata,Aves,2.82197503,2.588777778,endo,1,vert,aquatic,0,gizzard,no,yes,no,no,no,no,no,1,1,7.82E-05,0.577,0.013166667,0.195885106,13.13438333,0.133533333,17.5,621.25,3.398909535,0.195885106,17.5,621.25,3.398909535,Amidostomum_acutum
Amidostomum anseris,Amidostomum,Amidostomatidae,Rhabditida,Chromadorea,Nematoda,1,1,adult,no,def,no,3,Chordata,Aves,3.341390134,2.5025,endo,1,vert,aquatic,0,gizzard,no,yes,no,no,no,no,no,1,1,0.00012548,0.665,0.0155,1.73180295,18.275,0.35,29.53333333,1048.433333,4.139923552,1.73180295,29.53333333,1048.433333,4.139923552,Amidostomum_anseris
Amidostomum fulicae,Amidostomum,Amidostomatidae,Rhabditida,Chromadorea,Nematoda,1,1,adult,no,def,no,3,Chordata,Aves,2.94203506,2.59537037,endo,1,vert,aquatic,0,gizzard,no,yes,no,no,no,no,no,1,1,0.000141819,0.6435,0.01675,0.216475369,9.116666667,0.175,24,852,3.183673911,0.216475369,24,852,3.183673911,Amidostomum_fulicae
Amirthalingamia macracantha,Amirthalingamia,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes,1,1,1larv,yes,int,no,NA,NA,NA,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amirthalingamia_macracantha
