species,genus,id,tax_query_name,tax_query_id,family,order,class,phylum
Urutaulepis pifanoi,Urutaulepis,ott5138382,Urutaulepis pifanoi,5138382,Metadilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vadifresia baeri,Vadifresia,ott5136137,Vadifresia baeri,5136137,Davaineidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora amethiensis,Valipora,ott5138024,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora ardeolae,Valipora,ott5138021,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora atriospinosa,Valipora,ott5138027,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora aurangabadensis,Valipora,ott5138023,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora campylancristrota,Valipora,ott5138028,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora houdemeri,Valipora,ott5138022,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora kallamensis,Valipora,ott5138026,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora maharashtri,Valipora,ott5138030,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora marathwadensis,Valipora,ott5138032,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora matolaensis,Valipora,ott5138025,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora minuta,Valipora,ott6366628,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora mutabilis,Valipora,ott5138020,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora paralateralis,Valipora,ott5138018,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora shindei,Valipora,ott5138029,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora sultanpurensis,Valipora,ott5138031,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora unilateralis,Valipora,ott5138019,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Valipora yamagutii,Valipora,ott5138033,Valipora paralateralis,5138018,Gryporhynchidae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepidoides krishna,Vampirolepidoides,ott5137492,Vampirolepidoides krishna,5137492,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis acollaris,Vampirolepis,ott5136880,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis alii,Vampirolepis,ott5136928,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis alishanensis,Vampirolepis,ott5136867,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis allahabadensis,Vampirolepis,ott5136862,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis amamiensis,Vampirolepis,ott5136849,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis artibei,Vampirolepis,ott5136936,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis baeri,Vampirolepis,ott5136916,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis bidentatus,Vampirolepis,ott5136920,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis bihamata,Vampirolepis,ott5136856,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis brachysoma,Vampirolepis,ott5136863,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis brevihamata,Vampirolepis,ott5136925,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis chiangmaiensis,Vampirolepis,ott5136877,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Vampirolepis coelopis,Vampirolepis,ott5136900,Vampirolepis elongata,222041,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
